pH,Amonio,Estado_Agua
7.0,0.0,Bueno
7.8,4.0,Crítico
7.8,2.0,Crítico
7.8,2.0,Crítico
7.8,2.0,Crítico
8.2,1.0,Crítico
8.2,0.5,Regular
8.2,0.25,Bueno
8.2,1.0,Crítico
8.0,0.25,Bueno
8.0,0.5,Regular
7.8,2.0,Crítico
8.0,0.0,Bueno
7.8,0.25,Bueno
8.2,1.0,Crítico
8.2,2.0,Crítico
7.6,0.25,Bueno
7.6,0.5,Regular
8.2,1.0,Crítico
7.8,2.0,Crítico
8.2,0.25,Bueno
7.8,2.0,Crítico
7.8,2.0,Crítico
7.8,2.0,Crítico
8.2,2.0,Crítico
8.2,2.0,Crítico
8.2,0.25,Bueno
8.2,1.0,Crítico
7.8,2.0,Crítico
8.2,0.25,Bueno
7.8,2.0,Crítico
7.8,0.25,Bueno
7.8,2.0,Crítico
7.8,2.0,Crítico
8.2,0.25,Bueno
7.8,2.0,Crítico
8.2,2.0,Crítico
8.2,0.0,Bueno
7.8,0.5,Regular
7.8,2.0,Crítico
7.8,0.25,Bueno
8.2,0.25,Bueno
8.2,0.0,Bueno
8.2,0.0,Bueno
8.2,0.0,Bueno
8.2,0.0,Bueno
7.8,2.0,Crítico
7.8,0.0,Bueno
8.2,0.0,Bueno
7.8,0.25,Bueno
8.2,0.0,Bueno
8.2,0.25,Bueno
7.8,0.25,Bueno
8.2,0.25,Bueno
8.2,0.25,Bueno
8.2,0.5,Regular
8.2,0.25,Bueno
7.6,4.0,Crítico
7.8,2.0,Crítico
8.2,0.25,Bueno
7.6,4.0,Crítico
7.6,0.25,Bueno
8.2,2.0,Crítico
8.2,0.5,Regular
8.2,0.25,Bueno
8.2,0.0,Bueno
7.8,0.0,Bueno
8.2,0.0,Bueno
7.8,0.0,Bueno
7.8,0.25,Bueno
8.2,0.0,Bueno
8.2,0.25,Bueno
8.2,0.0,Bueno
8.2,0.25,Bueno
8.2,0.0,Bueno
8.2,0.0,Bueno
8.2,0.0,Bueno
8.2,0.0,Bueno
7.8,0.25,Bueno
7.8,0.0,Bueno
8.2,0.0,Bueno
8.2,0.0,Bueno
8.2,0.0,Bueno
8.2,0.0,Bueno
8.2,0.0,Bueno
8.2,0.25,Bueno
8.2,0.25,Bueno
8.2,0.0,Bueno
8.2,0.0,Bueno
7.8,0.25,Bueno
7.8,0.5,Regular
7.8,0.5,Regular
7.8,0.25,Bueno
7.8,0.25,Bueno
8.2,0.0,Bueno
8.2,0.0,Bueno
8.2,0.25,Bueno
8.2,0.0,Bueno
8.2,0.0,Bueno
8.2,0.0,Bueno
8.2,0.0,Bueno
8.2,0.0,Bueno
8.2,0.0,Bueno
8.2,0.0,Bueno
8.2,2.0,Crítico
8.2,0.0,Bueno
8.2,0.0,Bueno
8.2,0.0,Bueno
8.2,0.0,Bueno
8.2,0.0,Bueno
8.2,1.0,Crítico
7.8,1.0,Regular
7.8,0.0,Bueno
7.8,0.0,Bueno
7.8,1.0,Regular
7.8,0.0,Bueno
7.8,0.0,Bueno
7.8,0.25,Bueno
8.2,1.0,Crítico
7.8,0.5,Regular
7.8,0.0,Bueno
8.2,0.5,Regular
8.2,0.0,Bueno
8.2,0.25,Bueno
8.2,0.25,Bueno
7.8,0.5,Regular
8.2,0.0,Bueno
8.2,0.0,Bueno
8.2,0.0,Bueno
8.2,0.0,Bueno
8.2,0.0,Bueno
8.2,1.0,Crítico
7.8,1.0,Regular
7.8,0.0,Bueno
7.8,0.0,Bueno
7.8,1.0,Regular
7.8,0.0,Bueno
7.8,0.0,Bueno
7.8,0.25,Bueno
8.2,1.0,Crítico
7.8,0.5,Regular
7.8,0.0,Bueno
8.2,0.5,Regular
8.2,0.0,Bueno
8.2,0.25,Bueno
8.2,0.25,Bueno
7.8,0.5,Regular
